seed,condition,panel,source_video_id,n_frames,accuracy,nll,post_switch_nll
13800,direct_alpha,qualification_hidden,c01_clip018_video177,24,1.0,0.10004777022986733,0.1380121005679306
13800,direct_alpha,qualification_hidden,c04_clip001_video010,24,1.0,0.033106447254627365,0.0662057303476027
13800,direct_alpha,qualification_hidden,c50_clip014_video023,24,0.8333333333333334,0.7561577712916424,
13800,direct_alpha,qualification_hidden,c14_clip018_video062,24,0.16666666666666666,2.6466215576150875,3.7726936626629874
13800,direct_alpha,qualification_hidden,c07_clip013_video067,24,0.875,0.8206587103907136,1.1725533736495928
13800,direct_alpha,qualification_hidden,c19_clip013_video095,24,1.0,0.5305604087878316,0.40776827345591243
13800,direct_alpha,qualification_hidden,c50_clip023_video021,24,0.9583333333333334,0.46901532649983424,0.3212206212124057
13800,direct_alpha,qualification_hidden,c06_clip012_video082,24,0.9583333333333334,1.0473153667925177,1.1988316724918329
13800,direct_alpha,qualification_hidden,c26_clip005_video007,24,1.0,0.17497030189095006,
13800,direct_alpha,qualification_hidden,c38_clip028_video033,24,0.9166666666666666,1.238051983390391,1.2503158993717007
13800,direct_alpha,qualification_hidden,c23_clip041_video006,24,1.0,0.03386665563134855,0.06673146493352901
13800,direct_alpha,qualification_hidden,c05_clip026_video165,24,1.0,0.08934049343581511,0.10297077044893027
13800,direct_alpha,qualification_hidden,c07_clip024_video083,24,1.0,0.4784289977633709,0.343166555330324
13800,direct_alpha,qualification_hidden,c43_clip022_video026,24,1.0,0.9408177980965634,0.9192407810795272
13800,direct_alpha,qualification_hidden,c18_clip014_video066,24,1.0,0.011069864946740074,
13800,direct_alpha,qualification_hidden,c41_clip022_video046,24,1.0,0.39596442096597134,0.4609836822785305
13800,direct_alpha,qualification_hidden,c21_clip016_video033,24,0.9166666666666666,0.6204488608724225,1.069302900786425
13800,direct_alpha,qualification_hidden,c16_clip006_video007,24,0.125,3.53986124902205,2.9342776647105064
13800,direct_alpha,qualification_hidden,c23_clip019_video032,24,1.0,0.22271523656379574,0.3305177065891871
13800,direct_alpha,qualification_hidden,c24_clip016_video053,24,0.6666666666666666,0.9176515572227393,1.338482463755116
13800,direct_alpha,qualification_hidden,c49_clip001_video020,24,1.0,0.25059338384704394,
13800,direct_alpha,qualification_hidden,c34_clip003_video054,24,1.0,0.0365196523722243,0.06736869230480694
13800,direct_alpha,qualification_hidden,c28_clip002_video093,24,1.0,0.04331954631314818,0.06942495778023097
13800,direct_alpha,qualification_hidden,c23_clip020_video014,24,0.5,0.8925294625718037,0.5154482377984251
13800,direct_alpha,qualification_hidden,c05_clip012_video140,24,1.0,0.07648528159674563,0.08083892254789811
13800,direct_alpha,qualification_hidden,c45_clip011_video011,24,0.9166666666666666,0.8030933857049529,0.9365301351914989
13800,direct_alpha,qualification_hidden,c37_clip005_video011,24,1.0,0.0009459880589312769,
