hazard,feedback_fraction,feedback_delay,selector_mode,n_seeds,mean_accuracy,sd_accuracy,mean_dynamic_regret,mean_switch_latency,mean_false_switch_rate,mean_context_nll,mean_context_brier,expected_feedback_per_dwell,delay_fraction_of_expected_dwell
0.02,0.03125,0,persistent_rpe_local,30,0.7691569010416667,0.010724710978786373,0.12976888020833333,5.0,0.009630933752267468,0.8489351998340678,0.2907178239757906,1.5625,0.0
0.02,0.03125,0,train_fixed_best,30,0.76455078125,0.017595725182221328,0.134375,,,,,1.5625,0.0
0.02,0.03125,4,bayes_reward_filter,30,0.7637858072916667,0.008579304990644479,0.13513997395833333,5.6,0.010826418016875368,0.6757973673245946,0.2416347742058567,1.5625,0.08
0.02,0.03125,4,credit_shuffled_local,30,0.7468668619791666,0.012210075612654121,0.15205891927083334,0.65,0.015529107188289136,0.9599110877461114,0.3420546437243625,1.5625,0.08
0.02,0.03125,4,cumulative_sample_average,30,0.7578694661458333,0.016651341501182804,0.14105631510416666,1.6833333333333333,0.0007228670665487001,2.5875637716680773,0.4361862031631661,1.5625,0.08
0.02,0.03125,4,matched_random,30,0.7565266927083333,0.009533011656602612,0.14239908854166666,,,,,1.5625,0.08
0.02,0.03125,4,no_feedback_local,30,0.7565266927083333,0.009533011656602612,0.14239908854166666,1.3666666666666667,0.0,0.6931471805599451,0.25,1.5625,0.08
0.02,0.03125,4,oracle_hidden_state,30,0.89892578125,0.007017240049676702,0.0,0.0,0.0,9.999778782803791e-13,0.0,1.5625,0.08
0.02,0.03125,4,persistent_rpe_local,30,0.7660725911458334,0.011089965436619874,0.13285319010416666,5.016666666666667,0.009804618985090267,0.8726012835055822,0.2986783422088525,1.5625,0.08
0.02,0.03125,4,train_fixed_best,30,0.76455078125,0.017595725182221328,0.134375,,,,,1.5625,0.08
0.02,0.03125,16,bayes_reward_filter,30,0.7594075520833333,0.008295018257024332,0.13951822916666667,3.95,0.010726788684232567,0.6866974498185827,0.24683220150605126,1.5625,0.32
0.02,0.03125,16,credit_shuffled_local,30,0.7510091145833333,0.014048346830559017,0.14791666666666667,0.8333333333333334,0.014631737843796767,0.9406945761385818,0.3324867885441077,1.5625,0.32
0.02,0.03125,16,cumulative_sample_average,30,0.7546549479166667,0.017233789626013553,0.14427083333333332,1.55,0.0008807491681290001,2.4268179089348,0.42742106109884,1.5625,0.32
0.02,0.03125,16,matched_random,30,0.7565266927083333,0.009533011656602612,0.14239908854166666,,,,,1.5625,0.32
0.02,0.03125,16,no_feedback_local,30,0.7565266927083333,0.009533011656602612,0.14239908854166666,1.3666666666666667,0.0,0.6931471805599451,0.25,1.5625,0.32
0.02,0.03125,16,oracle_hidden_state,30,0.89892578125,0.007017240049676702,0.0,0.0,0.0,9.999778782803791e-13,0.0,1.5625,0.32
0.02,0.03125,16,persistent_rpe_local,30,0.7620442708333334,0.011344336220754493,0.13688151041666666,4.516666666666667,0.009961950311309002,0.9109562250348328,0.3135295738743998,1.5625,0.32
0.02,0.03125,16,train_fixed_best,30,0.76455078125,0.017595725182221328,0.134375,,,,,1.5625,0.32
0.02,0.0625,0,bayes_reward_filter,30,0.7756429036458333,0.008963763047890072,0.12328287760416666,5.7,0.016160594113338235,0.6479564876820435,0.22855482394375168,3.125,0.0
0.02,0.0625,0,credit_shuffled_local,30,0.7375732421875,0.012987469426984083,0.1613525390625,0.3333333333333333,0.02824880738505717,1.1312292267348547,0.3867581196393964,3.125,0.0
0.02,0.0625,0,cumulative_sample_average,30,0.7591471354166667,0.018621664671300938,0.13977864583333333,2.316666666666667,0.0011632610326493,2.5274144593248646,0.4048398453904849,3.125,0.0
0.02,0.0625,0,matched_random,30,0.7565266927083333,0.009533011656602612,0.14239908854166666,,,,,3.125,0.0
0.02,0.0625,0,no_feedback_local,30,0.7565266927083333,0.009533011656602612,0.14239908854166666,1.3666666666666667,0.0,0.6931471805599451,0.25,3.125,0.0
0.02,0.0625,0,oracle_hidden_state,30,0.89892578125,0.007017240049676702,0.0,0.0,0.0,9.999778782803791e-13,0.0,3.125,0.0
0.02,0.0625,0,persistent_rpe_local,30,0.7792073567708333,0.012018253968040193,0.11971842447916667,5.95,0.013551030712854567,0.9635017139172911,0.30245012057100923,3.125,0.0
0.02,0.0625,0,train_fixed_best,30,0.76455078125,0.017595725182221328,0.134375,,,,,3.125,0.0
0.02,0.0625,4,bayes_reward_filter,30,0.7716796875,0.00884928333287252,0.12724609375,6.55,0.016276344637728035,0.6603908334223652,0.23422627183280662,3.125,0.08
0.02,0.0625,4,credit_shuffled_local,30,0.73857421875,0.010998462976200355,0.1603515625,0.5166666666666667,0.026870088657690267,1.1280411104537913,0.38293528407681676,3.125,0.08
0.02,0.0625,4,cumulative_sample_average,30,0.7583577473958333,0.018630266275052525,0.14056803385416666,2.4833333333333334,0.0011884287630415,2.5502335926311592,0.4061583661638106,3.125,0.08
0.02,0.0625,4,matched_random,30,0.7565266927083333,0.009533011656602612,0.14239908854166666,,,,,3.125,0.08
0.02,0.0625,4,no_feedback_local,30,0.7565266927083333,0.009533011656602612,0.14239908854166666,1.3666666666666667,0.0,0.6931471805599451,0.25,3.125,0.08
0.02,0.0625,4,oracle_hidden_state,30,0.89892578125,0.007017240049676702,0.0,0.0,0.0,9.999778782803791e-13,0.0,3.125,0.08
0.02,0.0625,4,persistent_rpe_local,30,0.775634765625,0.012442998157016777,0.123291015625,6.216666666666667,0.01443966483409827,0.9898180095161361,0.31190092579551637,3.125,0.08
0.02,0.0625,4,train_fixed_best,30,0.76455078125,0.017595725182221328,0.134375,,,,,3.125,0.08
0.02,0.0625,16,bayes_reward_filter,30,0.7637044270833333,0.008620412317835393,0.13522135416666667,5.05,0.0161185459929199,0.6792887714965362,0.24318511298075948,3.125,0.32
